DateTime,BTC,ETH,USDT,BNB,SOL,Others
2013.05.05 ,1254762149,0,0,0,0,80617818.54
2013.05.12 ,1288631442,0,0,0,0,74918509.8
2013.05.19 ,1376371583,0,0,0,0,72448385.01
2013.05.26 ,1478025338,0,0,0,0,70654597.65
2013.06.02 ,1451925897,0,0,0,0,59084151.23
2013.06.09 ,1215132962,0,0,0,0,56547037.94
2013.06.16 ,1127123769,0,0,0,0,53126214.53
2013.06.23 ,1224978150,0,0,0,0,63751833.55
2013.06.30 ,1078255281,0,0,0,0,61514702.94
2013.07.07 ,782351595.2,0,0,0,0,62558420.82
2013.07.14 ,1126255795,0,0,0,0,63964236.82
2013.07.21 ,1027641925,0,0,0,0,62368059.45
2013.07.28 ,1082751498,0,0,0,0,67108470.5
2013.08.04 ,1207095509,0,0,0,0,73944491.35
2013.08.11 ,1188153837,0,0,0,0,100076179
2013.08.18 ,1304320188,0,0,0,0,118079812.5
2013.08.25 ,1387634727,0,0,0,0,114395225.2
2013.09.01 ,1572228888,0,0,0,0,113921127.6
2013.09.08 ,1448178129,0,0,0,0,120611886.8
2013.09.15 ,1514144914,0,0,0,0,119015022.4
2013.09.22 ,1500263578,0,0,0,0,144496486
2013.09.29 ,1587290661,0,0,0,0,187129307.3
2013.10.06 ,1514538901,0,0,0,0,146111082.8
2013.10.13 ,1599426159,0,0,0,0,134753808.6
2013.10.20 ,2037436875,0,0,0,0,131273013
2013.10.27 ,2102727708,0,0,0,0,120962276.3
2013.11.03 ,2459515516,0,0,0,0,141304452.2
2013.11.10 ,4174930742,0,0,0,0,219789513.8
2013.11.17 ,5291729353,0,0,0,0,201330742.5
2013.11.24 ,9570991362,0,0,0,0,450608893.8
2013.12.01 ,13614267716,0,0,0,0,1773432508
2013.12.08 ,8431855058,0,0,0,0,994564654.3
2013.12.15 ,10611621813,0,0,0,0,1357278283
2013.12.22 ,7315945128,0,0,0,0,804295000.3
2013.12.29 ,8872599591,0,0,0,0,1227100121
2014.01.05 ,10465659960,0,0,0,0,1416439752
2014.01.12 ,11264846811,0,0,0,0,1338053669
2014.01.19 ,10311486283,0,0,0,0,1256914101
2014.01.26 ,10510401360,0,0,0,0,1246998704
2014.02.02 ,10279152361,0,0,0,0,1245648151
2014.02.09 ,8307336965,0,0,0,0,974612731.2
2014.02.16 ,8077341036,0,0,0,0,1015438996
2014.02.23 ,7539892426,0,0,0,0,916707638.5
2014.03.02 ,7069287981,0,0,0,0,991821778.7
2014.03.09 ,7697912170,0,0,0,0,1139147414
2014.03.16 ,7968200288,0,0,0,0,1105910177
2014.03.23 ,7099236204,0,0,0,0,1062163604
2014.03.30 ,6193557127,0,0,0,0,744693113.2
2014.04.06 ,5843663675,0,0,0,0,640366276.7
2014.04.13 ,5326230585,0,0,0,0,561879494.6
2014.04.20 ,6356071183,0,0,0,0,745688816.7
2014.04.27 ,5805536631,0,0,0,0,583553161.2
2014.05.04 ,5580025865,0,0,0,0,558154230.7
2014.05.11 ,5789009427,0,0,0,0,622880749.2
2014.05.18 ,5735392705,0,0,0,0,609047102.7
2014.05.25 ,6729114877,0,0,0,0,671134979.2
2014.06.01 ,8007458710,0,0,0,0,674471018
2014.06.08 ,8428526959,0,0,0,0,686222992.6
2014.06.15 ,7427193646,0,0,0,0,642986194
2014.06.22 ,7703559805,0,0,0,0,642110338.9
2014.06.29 ,7728192403,0,0,0,0,606027373.4
2014.07.06 ,8203530646,0,0,0,0,536109673.5
2014.07.13 ,8252247432,0,0,0,0,575112824.2
2014.07.20 ,8196201373,0,0,0,0,588388451.3
2014.07.27 ,7782822949,0,0,0,0,549807066.6
2014.08.03 ,7710426679,0,0,0,0,554303432.6
2014.08.10 ,7730001925,0,0,0,0,507678202.9
2014.08.17 ,6826523803,0,0,0,0,398626148.8
2014.08.24 ,6567295887,0,0,0,0,424594033.2
2014.08.31 ,6642636071,0,0,0,0,557374169.4
2014.09.07 ,6421462128,0,0,0,0,567777680.1
2014.09.14 ,6355135251,0,0,0,0,610424557.3
2014.09.21 ,5425181058,0,0,0,0,567438974.3
2014.09.28 ,5321416705,0,0,0,0,580563455.5
2014.10.05 ,4389880123,0,0,0,0,528329924.8
2014.10.12 ,4849070088,0,0,0,0,532579831.6
2014.10.19 ,5242374418,0,0,0,0,550685422.1
2014.10.26 ,4665035343,0,0,0,0,492344753.3
2014.11.02 ,4386504162,0,0,0,0,453445662
2014.11.09 ,4655480675,0,0,0,0,490489500.6
2014.11.16 ,5060641298,0,0,0,0,504748526.1
2014.11.23 ,4778445707,0,0,0,0,568484469.3
2014.11.30 ,5090058613,0,0,0,0,805691531.5
2014.12.07 ,5090242007,0,0,0,0,827328040.7
2014.12.14 ,4717276441,0,0,0,0,885113574.7
2014.12.21 ,4491321812,0,0,0,0,1230188076
2014.12.28 ,4317327931,0,0,0,0,1205942213
2015.01.04 ,3847139735,0,0,0,0,1022340201
2015.01.11 ,3764964780,0,0,0,0,910455379.7
2015.01.18 ,2747723029,0,0,0,0,741546986.6
2015.01.25 ,3403308908,0,0,0,0,812101012.1
2015.02.01 ,2989456971,0,0,0,0,704113077
2015.02.08 ,3144923028,0,0,0,0,717287020.5
2015.02.15 ,3563295380,0,0,0,0,750334827.6
2015.02.22 ,3390509040,0,0,0,0,680290832
2015.03.01 ,3532057898,0,0,0,0,686712021.9
2015.03.08 ,3846742947,0,251600,0,0,609055629.3
2015.03.15 ,3923339799,0,251600,0,0,622378777.4
2015.03.22 ,3629914535,0,251600,0,0,585183880.9
2015.03.29 ,3536559217,0,251600,0,0,540579262.6
2015.04.05 ,3557453027,0,251600,0,0,530905421.4
2015.04.12 ,3321740502,0,251600,0,0,486738010.3
2015.04.19 ,3143459667,0,251600,0,0,467628765
2015.04.26 ,3190796973,0,251600,0,0,478231427.4
2015.05.03 ,3315974388,0,251600,0,0,466614075.5
2015.05.10 ,3418729921,0,251600,0,0,453398382.6
2015.05.17 ,3343946252,0,251600,0,0,431612196.4
2015.05.24 ,3391917865,0,451600,0,0,478250438.9
2015.05.31 ,3314789801,0,451600,0,0,540708679
2015.06.07 ,3213393226,0,451600,0,0,524075174
2015.06.14 ,3317074985,0,451600,0,0,534793415.5
2015.06.21 ,3503877684,0,451600,0,0,707840699.8
2015.06.28 ,3593902797,0,451600,0,0,719435555.2
2015.07.05 ,3741659654,0,451600,0,0,749318634
2015.07.12 ,4213278129,0,451600,0,0,709820478.8
2015.07.19 ,3956139972,0,451600,0,0,657178668.4
2015.07.26 ,4163471698,0,451600,0,0,690646685.5
2015.08.02 ,4052470133,0,451600,0,0,668848251.2
2015.08.09 ,3779770680,42637543.68,451600,0,0,643740112.5
2015.08.16 ,3797323161,102028033.2,451600,0,0,645427029.8
2015.08.23 ,3346765518,99894340.6,451600,0,0,577108445.8
2015.08.30 ,3345732050,86145906.39,451600,0,0,555610539.9
2015.09.06 ,3424428151,97625195.45,451600,0,0,566415117.7
2015.09.13 ,3435997782,76193716.66,451600,0,0,568396773.2
2015.09.20 ,3385770806,64600034.35,451600,0,0,550597592
2015.09.27 ,3431856750,58149531.52,451600,0,0,520772070.4
2015.10.04 ,3502459356,50555947.04,451600,0,0,491513064.8
2015.10.11 ,3599835149,46327504.64,451600,0,0,478005778.4
2015.10.18 ,3991622475,40550433.25,451600,0,0,476325507.8
2015.10.25 ,4154105118,41781371,451600,0,0,454501974.6
2015.11.01 ,4657899150,68477207.23,451600,0,0,505971787.1
