date,currency,price,volume,market_cap
2024-01-01,Bitcoin,18727.07,95120716,1781332169459
2024-01-01,Ethereum,3660.0,60267190,220577704811
2024-01-01,Litecoin,780.18,16443458,12828817224
2024-01-01,Ripple,290.51,86751438,25202355785
2024-01-01,Dash,3005.61,71099185,213696773777
2024-01-02,Bitcoin,1029.32,97021075,99865991015
2024-01-02,Ethereum,4162.23,22021572,91658846561
2024-01-02,Litecoin,909.21,19157046,17417714118
2024-01-02,Ripple,1521.28,52950887,80553166829
2024-01-02,Dash,2159.78,29831685,64429933011
2024-01-03,Bitcoin,30592.68,14809892,453074345636
2024-01-03,Ethereum,1460.79,37269822,54443534120
2024-01-03,Litecoin,2280.4,78732420,179541750632
2024-01-03,Ripple,998.45,51909209,51828695282
2024-01-03,Dash,2962.11,5598591,16583662141
2024-01-04,Bitcoin,30377.28,17881888,543203159062
2024-01-04,Ethereum,325.35,94939668,30888759635
2024-01-04,Litecoin,4828.16,81031337,391232554177
2024-01-04,Ripple,1523.14,10669539,16251184832
2024-01-04,Dash,3421.2,44575097,152500174761
2024-01-05,Bitcoin,6102.0,50022514,305237357955
2024-01-05,Ethereum,172.04,91022720,15659472868
2024-01-05,Litecoin,1293.97,66589706,86165350425
2024-01-05,Ripple,1558.62,52486734,81807094432
2024-01-05,Dash,2733.6,19300591,52760032627
2024-01-06,Bitcoin,48479.23,77738150,3768685974365
2024-01-06,Ethereum,4697.5,89587908,420839264286
2024-01-06,Litecoin,2989.54,92265549,275831559757
2024-01-06,Ripple,442.55,20402303,9029114054
2024-01-06,Dash,226.23,33207703,7512642411
2024-01-07,Bitcoin,19433.93,27863554,541498238684
2024-01-07,Ethereum,4143.7,36318579,150493466903
2024-01-07,Litecoin,1404.74,54726912,76877326497
2024-01-07,Ripple,704.71,80417501,56670778554
2024-01-07,Dash,372.85,98701807,36800550470
2024-01-08,Bitcoin,38612.26,20672852,798225580228
2024-01-08,Ethereum,27.71,81730681,2264759912
2024-01-08,Litecoin,3534.32,73171710,258611946566
2024-01-08,Ripple,3856.37,8330421,32125222160
2024-01-08,Dash,1792.39,12471037,22352996687
2024-01-09,Bitcoin,43155.18,62706515,2706111235328
2024-01-09,Ethereum,1654.56,7292277,12065487675
2024-01-09,Litecoin,1554.98,33193149,51614699586
2024-01-09,Ripple,3648.06,64118190,233906870330
2024-01-09,Dash,4436.07,47749278,211819376189
2024-01-10,Bitcoin,5979.8,71611234,428220880853
2024-01-10,Ethereum,3803.95,56566443,215175871917
2024-01-10,Litecoin,3854.86,49885764,192302576657
2024-01-10,Ripple,2613.71,43326561,113243146452
2024-01-10,Dash,127.19,11681251,1485774466
2024-01-11,Bitcoin,1571.56,64004631,100586870480
2024-01-11,Ethereum,1571.85,51348498,80712058675
2024-01-11,Litecoin,4537.84,25679931,116531458084
2024-01-11,Ripple,2051.97,75799563,155538699832
2024-01-11,Dash,1144.07,8621011,9863022445
2024-01-12,Bitcoin,14487.64,16960907,245723583293
2024-01-12,Ethereum,4648.5,81003918,376546329485
2024-01-12,Litecoin,3167.06,87274598,276403491917
2024-01-12,Ripple,4018.38,19470436,78239610266
2024-01-12,Dash,4462.81,54394882,242753791204
2024-01-13,Bitcoin,40372.03,89713039,3621897221615
2024-01-13,Ethereum,1590.09,11895141,18914291361
2024-01-13,Litecoin,1139.75,43283671,49332694788
2024-01-13,Ripple,4090.09,86212328,352616354426
2024-01-13,Dash,34.86,51563983,1797518251
2024-01-14,Bitcoin,20870.61,22988673,479787597132
2024-01-14,Ethereum,599.41,34423902,20634198040
2024-01-14,Litecoin,4714.55,32997090,155566571464
2024-01-14,Ripple,2594.0,70598877,183133573570
2024-01-14,Dash,1818.21,97206426,176741856449
2024-01-15,Bitcoin,48122.37,25926447,1247642050289
2024-01-15,Ethereum,2486.29,30786953,76545378904
2024-01-15,Litecoin,1424.27,4651808,6625448829
2024-01-15,Ripple,3047.86,50765223,154725329705
2024-01-15,Dash,257.49,28586000,7360569349
2024-01-16,Bitcoin,45413.3,24716627,1122463690743
2024-01-16,Ethereum,724.56,49455823,35833704925
2024-01-16,Litecoin,4928.25,24963472,123026322793
2024-01-16,Ripple,3360.71,76400342,256759433079
2024-01-16,Dash,1188.26,73093419,86854274654
2024-01-17,Bitcoin,18389.22,63598277,1169522702527
2024-01-17,Ethereum,3167.69,54041694,171187073436
2024-01-17,Litecoin,451.54,83694947,37791601440
2024-01-17,Ripple,1603.97,19465333,31221775292
2024-01-17,Dash,203.97,59498401,12135985926
2024-01-18,Bitcoin,33878.25,2642195,89512945809
2024-01-18,Ethereum,2560.51,23423082,59975130655
2024-01-18,Litecoin,3225.9,18262276,58912267347
2024-01-18,Ripple,3454.72,39286799,135724875379
2024-01-18,Dash,4683.66,14614573,68449638678
2024-01-19,Bitcoin,17053.38,12233879,208629022844
2024-01-19,Ethereum,4623.48,87856596,406202829770
2024-01-19,Litecoin,1289.78,66338421,85562123591
2024-01-19,Ripple,4086.13,55964880,228679736175
2024-01-19,Dash,2648.3,24943377,66057542949
