country,2019,2020,2021,2022,2023,2024
Argentina,0.16,0.14,0.21,0.35,0.26,0.3
Brazil,0.18,0.12,0.12,0.22,0.28,0.24
India,0.08,0.08,0.1,0.22,0.27,0.22
South Africa,0.16,0.17,0.18,0.23,0.22,0.22
Portugal,0.09,0.08,0.14,0.15,0,0.2
Switzerland,0.1,0.09,0.13,0.18,0.21,0.19
Chile,0.11,0.12,0.14,0.14,0.15,0.18
Dominican Republic,0.1,0.1,0.11,0.15,0,0.17
Mexico,0.12,0.11,0.09,0.12,0.13,0.17
Australia,0.07,0.08,0.09,0.16,0.17,0.16
Netherlands,0.1,0.09,0.1,0.19,0.19,0.16
South Korea,0.06,0.08,0.08,0.19,0.2,0.16
United States,0.05,0.07,0.08,0.15,0.16,0.16
Belgium,0.07,0.06,0.1,0.15,0.16,0.15
New Zealand,0.06,0.05,0.11,0.15,0.14,0.15
Poland,0.07,0.07,0.08,0.11,0.14,0.15
Spain,0.1,0.1,0.1,0.15,0.15,0.15
Austria,0.08,0.07,0.08,0.14,0.14,0.14
Denmark,0.08,0.04,0.11,0.12,0.13,0.14
Hungary,0,0.06,0.09,0.12,0,0.14
Ireland,0.08,0.1,0.13,0.15,0.16,0.14
Norway,0.07,0.08,0.09,0.15,0.17,0.14
Peru,0.15,0.16,0.13,0.14,0,0.14
Canada,0.04,0.06,0.06,0.14,0.13,0.13
Czechia,0.1,0.09,0.15,0.13,0.13,0.13
Germany,0.04,0.06,0.06,0.12,0.12,0.13
Greece,0.11,0.11,0.13,0.18,0.13,0.13
Italy,0.06,0.06,0.05,0.1,0.11,0.13
Lithuania,0.06,0.09,0.11,0.14,0.13,0.13
United Kingdom,0.06,0.05,0.05,0.1,0.12,0.13
Colombia,0.18,0.15,0.15,0.16,0.12,0.12
Romania,0.06,0.06,0.11,0.14,0.12,0.12
Sweden,0.04,0.04,0.06,0.11,0.11,0.12
China,0.11,0.08,0.07,0.09,0.1,0.09
Finland,0.04,0.05,0.06,0.11,0.12,0.09
France,0.04,0.06,0.05,0.09,0.11,0.09
Serbia,0.09,0.07,0.11,0.13,0.09,0.09
Japan,0.03,0.04,0.04,0.13,0.06,0.06
Egypt,0.08,0.08,0.12,0.14,0.19,0.19
Hong Kong,0.13,0.13,0.13,0.16,0.16,0.16
Indonesia,0.11,0.13,0.12,0.19,0.29,0.29
Israel,0.05,0.05,0.08,0.1,0.12,0.12
Kenya,0.1,0.11,0.16,0.19,0.19,0.19
Malaysia,0.12,0.12,0.16,0.2,0.23,0.23
Morocco,0.1,0.09,0.1,0.12,0.16,0.16
Nigeria,0.28,0.32,0.42,0.45,0.47,0.47
Pakistan,0.06,0.06,0.14,0.19,0.18,0.18
Philippines,0.2,0.2,0.28,0.29,0.29,0.29
Russia,0.09,0.08,0.08,0.1,0.14,0.14
Saudi Arabia,0.14,0.11,0.12,0.2,0.23,0.23
Singapore,0.1,0.1,0.11,0.25,0.25,0.25
Taiwan,0.05,0.05,0.1,0.14,0.14,0.14
Thailand,0.23,0.18,0.31,0.44,0.44,0.44
Turkey,0.2,0.16,0.25,0.4,0.47,0.47
United Arab Emirates,0.1,0.1,0.13,0.34,0.31,0.31
Vietnam,0.22,0.21,0.27,0.27,0.27,0.27
