country;percentage
Argentina;0,3
Brazil;0,24
India;0,22
South Africa;0,22
Portugal;0,2
Switzerland;0,19
Chile;0,18
Dominican Republic;0,17
Mexico;0,17
Australia;0,16
Netherlands;0,16
South Korea;0,16
United States;0,16
Belgium;0,15
New Zealand;0,15
Poland;0,15
Spain;0,15
Austria;0,14
Denmark;0,14
Hungary;0,14
Ireland;0,14
Norway;0,14
Peru;0,14
Canada;0,13
Czechia;0,13
Germany;0,13
Greece;0,13
Italy;0,13
Lithuania;0,13
United Kingdom;0,13
Colombia;0,12
Romania;0,12
Sweden;0,12
China;0,09
Finland;0,09
France;0,09
Serbia;0,09
Japan;0,06
Egypt;0,19
Hong Kong;0,16
Indonesia;0,29
Israel;0,12
Kenya;0,19
Malaysia;0,23
Morocco;0,16
Nigeria;0,47
Pakistan;0,18
Philippines;0,29
Russia;0,14
Saudi Arabia;0,23
Singapore;0,25
Taiwan;0,14
Thailand;0,44
Turkey;0,47
United Arab Emirates;0,31
Vietnam;0,27
